               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038585,            0.014978,           0.0065793,             0.82999,              0.3235,             0.40578,             0.20106,            0.019676,             0.01259,           0.0050556,             0.13244,          0.00098678,          0.00098678
                   1,            0.021683,            0.011652,           0.0044419,             0.88621,             0.41974,             0.53971,             0.32187,            0.012271,           0.0063932,           0.0044792,            0.078212,            0.001907,            0.001907
                   2,            0.018945,           0.0090258,           0.0040389,             0.96782,             0.45703,             0.62517,             0.40449,            0.010388,           0.0059715,           0.0040781,            0.023922,           0.0027601,           0.0027601
                   3,            0.017391,           0.0082873,           0.0037564,             0.66084,             0.80926,             0.80887,             0.57121,           0.0090685,           0.0057126,           0.0036138,           0.0029999,           0.0029999,           0.0029999
                   4,            0.015611,           0.0076275,           0.0032927,             0.77145,             0.96267,             0.92516,             0.66049,            0.008738,            0.005243,           0.0030472,           0.0029999,           0.0029999,           0.0029999
                   5,            0.014028,           0.0072756,           0.0026314,              0.9386,             0.94527,             0.98283,             0.73012,           0.0079217,           0.0046083,           0.0023023,           0.0028865,           0.0028865,           0.0028865
                   6,            0.013165,           0.0068811,           0.0019246,              0.9645,             0.97552,             0.98983,             0.72922,           0.0073452,           0.0043165,           0.0015088,           0.0027731,           0.0027731,           0.0027731
                   7,            0.012425,           0.0067597,           0.0014206,             0.97148,             0.98158,             0.99235,             0.74754,           0.0068784,           0.0041142,           0.0010064,           0.0026597,           0.0026597,           0.0026597
                   8,            0.011675,           0.0064591,           0.0011142,             0.97153,             0.98339,             0.99215,             0.75266,           0.0068315,           0.0039714,          0.00073432,           0.0025463,           0.0025463,           0.0025463
                   9,            0.011071,            0.006237,          0.00091697,             0.97291,             0.98604,             0.99283,             0.77687,           0.0060291,           0.0037968,          0.00059514,            0.002433,            0.002433,            0.002433
                  10,            0.010553,           0.0061951,          0.00078894,             0.97578,             0.98436,             0.99291,             0.80368,           0.0055488,           0.0036813,          0.00050712,           0.0023196,           0.0023196,           0.0023196
                  11,            0.010136,           0.0059457,          0.00075954,             0.97599,             0.98741,              0.9932,             0.79866,           0.0054663,           0.0036147,          0.00044647,           0.0022062,           0.0022062,           0.0022062
                  12,           0.0096098,            0.005892,          0.00066058,             0.97822,             0.98486,             0.99338,             0.80236,           0.0056004,           0.0035594,          0.00040953,           0.0020928,           0.0020928,           0.0020928
                  13,           0.0093056,            0.005785,          0.00060309,              0.9793,             0.98547,             0.99366,             0.82609,           0.0051848,           0.0034626,          0.00037084,           0.0019794,           0.0019794,           0.0019794
                  14,           0.0089588,           0.0056996,          0.00056526,              0.9798,             0.98568,             0.99368,             0.83551,           0.0049776,           0.0033886,          0.00033412,           0.0018661,           0.0018661,           0.0018661
                  15,           0.0085714,            0.005538,          0.00051477,             0.98186,             0.98757,             0.99378,             0.84538,           0.0047009,           0.0033048,          0.00030944,           0.0017527,           0.0017527,           0.0017527
                  16,           0.0083353,            0.005507,          0.00048278,             0.98082,             0.98693,             0.99388,             0.85251,           0.0045867,           0.0032742,          0.00028423,           0.0016393,           0.0016393,           0.0016393
                  17,            0.008071,           0.0054007,          0.00047379,             0.98051,             0.98891,             0.99385,             0.85082,           0.0046779,           0.0032359,           0.0002611,           0.0015259,           0.0015259,           0.0015259
                  18,           0.0077601,           0.0053249,          0.00045085,             0.98109,             0.98743,             0.99388,             0.85206,           0.0045514,           0.0031873,          0.00024358,           0.0014125,           0.0014125,           0.0014125
                  19,           0.0075187,           0.0052155,          0.00042935,             0.98258,              0.9873,             0.99389,             0.85685,           0.0045865,           0.0031516,          0.00023126,           0.0012992,           0.0012992,           0.0012992
                  20,           0.0072785,           0.0051922,          0.00038854,              0.9818,             0.98785,             0.99395,             0.86527,           0.0043827,           0.0030998,          0.00021171,           0.0011858,           0.0011858,           0.0011858
                  21,           0.0070878,           0.0051931,          0.00039234,             0.98181,             0.98857,             0.99398,              0.8681,           0.0043142,           0.0030656,          0.00020219,           0.0010724,           0.0010724,           0.0010724
                  22,           0.0068242,           0.0050746,          0.00035723,             0.98211,             0.98861,             0.99418,             0.87184,           0.0042547,           0.0030349,          0.00018735,          0.00095903,          0.00095903,          0.00095903
                  23,           0.0066519,           0.0050035,          0.00034324,             0.98271,             0.98826,             0.99416,             0.87182,           0.0042656,           0.0030415,          0.00017042,          0.00084565,          0.00084565,          0.00084565
                  24,           0.0063618,           0.0049149,          0.00031924,             0.98288,             0.98897,             0.99417,             0.87783,           0.0041704,           0.0029962,          0.00015805,          0.00073227,          0.00073227,          0.00073227
